N20140422Q32F127V1	14:14:06	-28:35:18	40	13.333	2014-04-23T12:23:20
N20140422Q32F128V1	14:14:02	-26:38:54	40	13.333	2014-04-23T12:24:30
N20140422Q32F125V2	14:06:55	-25:39:42	40	13.333	2014-04-23T12:25:40
N20140422Q32F126V2	14:06:52	-27:36:06	40	13.333	2014-04-23T12:26:50
N20140422Q32F127V2	14:14:06	-28:35:18	40	13.333	2014-04-23T12:28:00
N20140422Q32F128V2	14:14:02	-26:38:54	40	13.333	2014-04-23T12:29:10
N20140422Q32F125V3	14:06:55	-25:39:42	40	13.333	2014-04-23T12:30:20
N20140422Q32F126V3	14:06:52	-27:36:06	40	13.333	2014-04-23T12:31:30
N20140422Q32F127V3	14:14:06	-28:35:18	40	13.333	2014-04-23T12:32:40
N20140422Q32F128V3	14:14:02	-26:38:54	40	13.333	2014-04-23T12:33:50
N20140422Q32F125V4	14:06:55	-25:39:42	40	13.333	2014-04-23T12:35:00
N20140422Q32F126V4	14:06:52	-27:36:06	40	13.333	2014-04-23T12:36:10
N20140422Q32F127V4	14:14:06	-28:35:18	40	13.333	2014-04-23T12:37:20
N20140422Q32F128V4	14:14:02	-26:38:54	40	13.333	2014-04-23T12:38:30
N20140422Q32F125V5	14:06:55	-25:39:42	40	13.333	2014-04-23T12:39:40
N20140422Q32F126V5	14:06:52	-27:36:06	40	13.333	2014-04-23T12:40:50
N20140422Q32F127V5	14:14:06	-28:35:18	40	13.333	2014-04-23T12:42:00
N20140422Q32F128V5	14:14:02	-26:38:54	40	13.333	2014-04-23T12:43:10
SLEW_QX_QY	14:14:02	-26:38:54	60	13.333	2014-04-23T12:44:40
N20140422Q33F129V1	14:20:14	00:07:18	40	13.333	2014-04-23T12:45:50
N20140422Q33F130V1	14:20:14	-01:51:42	40	13.333	2014-04-23T12:47:00
N20140422Q33F131V1	14:26:37	-02:50:54	40	13.333	2014-04-23T12:48:10
N20140422Q33F132V1	14:26:37	-00:52:30	40	13.333	2014-04-23T12:49:20
N20140422Q33F129V2	14:20:14	00:07:18	40	13.333	2014-04-23T12:50:30
N20140422Q33F130V2	14:20:14	-01:51:42	40	13.333	2014-04-23T12:51:40
N20140422Q33F131V2	14:26:37	-02:50:54	40	13.333	2014-04-23T12:52:50
N20140422Q33F132V2	14:26:37	-00:52:30	40	13.333	2014-04-23T12:54:00
N20140422Q33F129V3	14:20:14	00:07:18	40	13.333	2014-04-23T12:55:10
N20140422Q33F130V3	14:20:14	-01:51:42	40	13.333	2014-04-23T12:56:20
N20140422Q33F131V3	14:26:37	-02:50:54	40	13.333	2014-04-23T12:57:30
N20140422Q33F132V3	14:26:37	-00:52:30	40	13.333	2014-04-23T12:58:40
N20140422Q33F129V4	14:20:14	00:07:18	40	13.333	2014-04-23T12:59:50
N20140422Q33F130V4	14:20:14	-01:51:42	40	13.333	2014-04-23T13:01:00
N20140422Q33F131V4	14:26:37	-02:50:54	40	13.333	2014-04-23T13:02:10
N20140422Q33F132V4	14:26:37	-00:52:30	40	13.333	2014-04-23T13:03:20
N20140422Q33F129V5	14:20:14	00:07:18	40	13.333	2014-04-23T13:04:30
N20140422Q33F130V5	14:20:14	-01:51:42	40	13.333	2014-04-23T13:05:40
N20140422Q33F131V5	14:26:37	-02:50:54	40	13.333	2014-04-23T13:06:50
N20140422Q33F132V5	14:26:37	-00:52:30	40	13.333	2014-04-23T13:08:00
SLEW_QX_QY	14:26:37	-00:52:30	60	13.333	2014-04-23T13:09:30
N20140422Q34F133V1	14:20:15	-03:34:30	40	13.333	2014-04-23T13:10:40
